City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,71.35,overcast clouds,-23.1203,-134.9692,People ThankYou
5,Bengkulu,ID,77.76,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
8,Port-Gentil,GA,77.5,overcast clouds,-0.7193,8.7815,Fengshui Residence
9,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Hithadhoo,MV,81.97,overcast clouds,-0.6,73.0833,Scoop Guest House
13,Catuday,PH,82.29,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
16,Tabas,IR,70.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
19,Dakar,SN,81.48,light rain,14.6937,-17.4441,Novotel Dakar
21,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Kintampo,GH,72.3,few clouds,8.0563,-1.7306,Adomaa Memorial Hotel
24,Kelo,TD,71.08,moderate rain,9.3086,15.8066,Plantation de Kelo
27,Kavaratti,IN,81.41,overcast clouds,10.5669,72.642,Green leaf
28,Marsassoum,SN,75.9,moderate rain,12.8275,-15.9806,Djinoubor keur Samba ba
30,Tuy Hoa,VN,78.49,heavy intensity rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
31,Pitimbu,BR,73.99,few clouds,-7.4706,-34.8086,Reserva do Abiaí
32,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
34,Progreso,MX,81.1,few clouds,21.2833,-89.6667,Playa Linda Hotel
36,Lorengau,PG,85.91,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
37,Neiafu,TO,83.08,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
38,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
40,Sola,VU,80.47,few clouds,-13.8833,167.55,Leumerus Bungalows
44,Atuona,PF,76.53,few clouds,-9.8,-139.0333,Villa Enata
45,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
46,Kansas City,US,73.69,clear sky,39.0997,-94.5786,Hilton President Kansas City
56,Cabo San Lucas,MX,86.31,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Polis,CY,73.22,clear sky,35.0367,32.4264,Marion
68,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
71,Nanakuli,US,85.98,overcast clouds,21.3906,-158.1547,Camp Pālehua
73,Kanye,BW,72.59,clear sky,-24.9667,25.3327,The Savanna Lodge
75,Mayumba,GA,75.61,light rain,-3.432,10.6554,LIKWALE LODGE
77,Bellevue,US,78.28,smoke,47.6104,-122.2007,The Westin Bellevue
78,Sao Jose Da Coroa Grande,BR,75.02,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
84,Buluang,PH,84.33,broken clouds,13.3068,123.3425,Sacueza Beach Resort
87,Dingle,PH,83.82,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
89,Hervey Bay,AU,74.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
90,Tura,IN,72.01,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
92,Sinnamary,GF,78.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
93,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
97,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
98,Tiznit,MA,76.1,clear sky,29.5833,-9.5,
109,Hilo,US,84.27,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
112,Bocos,PH,75.11,scattered clouds,16.9265,121.0573,Rice Homestay
116,Fare,PF,78.49,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
118,Kismayo,SO,75.09,scattered clouds,-0.3582,42.5454,Agan-Hotel
119,Portland,US,82.33,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
120,Bahia De Caraquez,EC,71.78,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
122,Bandarbeyla,SO,76.87,scattered clouds,9.4942,50.8122,JABIR HOTEL
123,Carlsbad,US,78.17,broken clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
124,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
