WeatherPy_Database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,42.3,78,30,3.27,scattered clouds
1,Lavrentiya,RU,65.5833,-171.0,37.83,70,69,17.63,broken clouds
2,Hermanus,ZA,-34.4187,19.2345,53.8,77,75,10.42,broken clouds
3,Husavik,IS,66.0449,-17.3389,46.08,94,100,13.47,overcast clouds
4,Guerrero Negro,MX,27.9769,-114.0611,75.27,61,1,14.12,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,48.31,46,40,25.32,scattered clouds
6,Viedma,AR,-40.8135,-62.9967,64.98,43,0,10.69,clear sky
7,Labuhan,ID,-6.8844,112.2051,79.03,80,100,7.96,overcast clouds
8,Wad Rawah,SD,15.1603,33.1397,87.91,40,56,9.78,broken clouds
9,Pevek,RU,69.7008,170.3133,32.92,82,100,6.98,overcast clouds
10,Naze,JP,28.3667,129.4833,72.52,80,4,5.01,clear sky
11,Yishui,CN,35.7847,118.6281,71.06,98,100,2.75,overcast clouds
12,Saint-Georges,GD,12.0564,-61.7485,87.48,70,20,18.41,few clouds
13,Katangli,RU,51.7102,143.2326,32.31,71,8,9.55,clear sky
14,Wuda,CN,39.4994,106.7117,66.11,53,0,6.85,clear sky
15,Port Alfred,ZA,-33.5906,26.891,62.11,75,39,4.14,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,46.06,53,20,28.77,few clouds
17,Nikolskoye,RU,59.7035,30.7861,42.69,94,94,2.44,overcast clouds
18,Cape Town,ZA,-33.9258,18.4232,60.91,79,0,12.66,clear sky
19,Egvekinot,RU,66.3167,-179.1667,25.56,77,100,6.42,overcast clouds
20,Ler,SS,8.3018,30.1418,74.8,77,2,3.49,clear sky
21,Rikitea,PF,-23.1203,-134.9692,73.56,72,11,11.5,few clouds
22,Sol-Iletsk,RU,51.1631,54.9918,52.63,43,92,10.58,overcast clouds
23,Yellowknife,CA,62.456,-114.3525,54.12,82,100,18.41,overcast clouds
24,Linfen,CN,36.0889,111.5189,67.44,87,71,4.25,broken clouds
25,Busselton,AU,-33.65,115.3333,54.19,84,78,15.77,broken clouds
